frame_index,timestamp_sec,timestamp_mmss,face_found,face_probability,face_enthusiastic,body_detected,body_score,body_enthusiastic,decision_reason,frame_label
0,0.0,00:00,True,0.0203,False,True,0.0,False,face=NOT_enthus (prob=0.02) body=still,not enthusiastic
5,0.208,00:00,True,0.2432,False,True,0.0281,False,face=NOT_enthus (prob=0.24) body=still,not enthusiastic
10,0.417,00:00,True,0.1856,False,True,0.085,True,face=NOT_enthus (prob=0.19) body=active(ignored),not enthusiastic
15,0.625,00:00,True,0.037,False,True,0.232,True,face=NOT_enthus (prob=0.04) body=active(ignored),not enthusiastic
20,0.833,00:00,True,0.0035,False,True,0.249,True,face=NOT_enthus (prob=0.00) body=active(ignored),not enthusiastic
25,1.042,00:01,True,0.0382,False,True,0.3009,True,face=NOT_enthus (prob=0.04) body=active(ignored),not enthusiastic
30,1.25,00:01,True,0.0653,False,True,0.3099,True,face=NOT_enthus (prob=0.07) body=active(ignored),not enthusiastic
35,1.458,00:01,True,0.0097,False,True,0.3225,True,face=NOT_enthus (prob=0.01) body=active(ignored),not enthusiastic
40,1.667,00:01,True,0.015,False,True,0.2393,True,face=NOT_enthus (prob=0.01) body=active(ignored),not enthusiastic
45,1.875,00:01,True,0.1226,False,True,0.2897,True,face=NOT_enthus (prob=0.12) body=active(ignored),not enthusiastic
50,2.083,00:02,True,0.6761,True,True,0.2484,True,face=ENTHUS (prob=0.68) body=active,enthusiastic
55,2.292,00:02,True,0.0211,False,True,0.2407,True,face=NOT_enthus (prob=0.02) body=active(ignored),not enthusiastic
60,2.5,00:02,True,0.074,False,True,0.1943,True,face=NOT_enthus (prob=0.07) body=active(ignored),not enthusiastic
65,2.708,00:02,True,0.0556,False,True,0.1471,True,face=NOT_enthus (prob=0.06) body=active(ignored),not enthusiastic
70,2.917,00:02,True,0.0351,False,True,0.0394,False,face=NOT_enthus (prob=0.04) body=still,not enthusiastic
75,3.125,00:03,True,0.0574,False,True,0.0385,False,face=NOT_enthus (prob=0.06) body=still,not enthusiastic
80,3.333,00:03,True,0.5771,True,True,0.1306,True,face=ENTHUS (prob=0.58) body=active,enthusiastic
85,3.542,00:03,True,0.0301,False,True,0.2159,True,face=NOT_enthus (prob=0.03) body=active(ignored),not enthusiastic
90,3.75,00:03,True,0.1017,False,True,0.2338,True,face=NOT_enthus (prob=0.10) body=active(ignored),not enthusiastic
95,3.958,00:03,True,0.0004,False,True,0.3519,True,face=NOT_enthus (prob=0.00) body=active(ignored),not enthusiastic
100,4.167,00:04,True,0.1676,False,True,0.3581,True,face=NOT_enthus (prob=0.17) body=active(ignored),not enthusiastic
105,4.375,00:04,True,0.0022,False,True,0.2656,True,face=NOT_enthus (prob=0.00) body=active(ignored),not enthusiastic
110,4.583,00:04,True,0.0039,False,True,0.1817,True,face=NOT_enthus (prob=0.00) body=active(ignored),not enthusiastic
115,4.792,00:04,True,0.0448,False,True,0.1722,True,face=NOT_enthus (prob=0.04) body=active(ignored),not enthusiastic
120,5.0,00:05,True,0.0295,False,True,0.1956,True,face=NOT_enthus (prob=0.03) body=active(ignored),not enthusiastic
125,5.208,00:05,True,0.9207,True,True,0.2694,True,face=ENTHUS (prob=0.92) body=active,enthusiastic
130,5.417,00:05,True,0.0581,False,True,0.2734,True,face=NOT_enthus (prob=0.06) body=active(ignored),not enthusiastic
135,5.625,00:05,True,0.0444,False,True,0.2889,True,face=NOT_enthus (prob=0.04) body=active(ignored),not enthusiastic
140,5.833,00:05,True,0.1096,False,True,0.3036,True,face=NOT_enthus (prob=0.11) body=active(ignored),not enthusiastic
145,6.042,00:06,True,0.3339,False,True,0.2059,True,face=NOT_enthus (prob=0.33) body=active(ignored),not enthusiastic
150,6.25,00:06,True,0.2835,False,True,0.2374,True,face=NOT_enthus (prob=0.28) body=active(ignored),not enthusiastic
155,6.458,00:06,True,0.9715,True,True,0.2889,True,face=ENTHUS (prob=0.97) body=active,enthusiastic
160,6.667,00:06,True,0.0326,False,True,0.3982,True,face=NOT_enthus (prob=0.03) body=active(ignored),not enthusiastic
165,6.875,00:06,True,0.0481,False,True,0.3883,True,face=NOT_enthus (prob=0.05) body=active(ignored),not enthusiastic
170,7.083,00:07,True,0.3754,False,True,0.3538,True,face=NOT_enthus (prob=0.38) body=active(ignored),not enthusiastic
175,7.292,00:07,True,0.0491,False,True,0.2818,True,face=NOT_enthus (prob=0.05) body=active(ignored),not enthusiastic
180,7.5,00:07,True,0.0222,False,True,0.2198,True,face=NOT_enthus (prob=0.02) body=active(ignored),not enthusiastic
185,7.708,00:07,True,0.1985,False,True,0.094,True,face=NOT_enthus (prob=0.20) body=active(ignored),not enthusiastic
190,7.917,00:07,True,0.0079,False,True,0.1016,True,face=NOT_enthus (prob=0.01) body=active(ignored),not enthusiastic
