frame_index,timestamp_sec,timestamp_mmss,face_found,face_probability,face_enthusiastic,body_detected,body_score,body_enthusiastic,decision_reason,frame_label
0,0.0,00:00,True,0.0026,False,True,0.0,False,face=NOT_enthus (prob=0.00) body=still,not enthusiastic
5,0.208,00:00,True,0.0014,False,True,0.0475,False,face=NOT_enthus (prob=0.00) body=still,not enthusiastic
10,0.417,00:00,True,0.2122,False,True,0.0772,False,face=NOT_enthus (prob=0.21) body=still,not enthusiastic
15,0.625,00:00,True,0.402,False,True,0.1013,True,face=NOT_enthus (prob=0.40) body=active(ignored),not enthusiastic
20,0.833,00:00,True,0.0707,False,True,0.1113,True,face=NOT_enthus (prob=0.07) body=active(ignored),not enthusiastic
25,1.042,00:01,True,0.2483,False,True,0.1482,True,face=NOT_enthus (prob=0.25) body=active(ignored),not enthusiastic
30,1.25,00:01,True,0.5923,True,True,0.1825,True,face=ENTHUS (prob=0.59) body=active,enthusiastic
35,1.458,00:01,True,0.1666,False,True,0.1892,True,face=NOT_enthus (prob=0.17) body=active(ignored),not enthusiastic
40,1.667,00:01,True,0.1913,False,True,0.1732,True,face=NOT_enthus (prob=0.19) body=active(ignored),not enthusiastic
45,1.875,00:01,True,0.2771,False,True,0.1705,True,face=NOT_enthus (prob=0.28) body=active(ignored),not enthusiastic
50,2.083,00:02,True,0.371,False,True,0.1493,True,face=NOT_enthus (prob=0.37) body=active(ignored),not enthusiastic
55,2.292,00:02,True,0.3687,False,True,0.1112,True,face=NOT_enthus (prob=0.37) body=active(ignored),not enthusiastic
60,2.5,00:02,True,0.4024,False,True,0.101,True,face=NOT_enthus (prob=0.40) body=active(ignored),not enthusiastic
65,2.708,00:02,True,0.4161,False,True,0.1243,True,face=NOT_enthus (prob=0.42) body=active(ignored),not enthusiastic
70,2.917,00:02,True,0.0372,False,True,0.1118,True,face=NOT_enthus (prob=0.04) body=active(ignored),not enthusiastic
75,3.125,00:03,True,0.4008,False,True,0.106,True,face=NOT_enthus (prob=0.40) body=active(ignored),not enthusiastic
80,3.333,00:03,True,0.0128,False,True,0.096,True,face=NOT_enthus (prob=0.01) body=active(ignored),not enthusiastic
85,3.542,00:03,True,0.0283,False,True,0.0903,True,face=NOT_enthus (prob=0.03) body=active(ignored),not enthusiastic
90,3.75,00:03,True,0.8842,True,True,0.0696,False,face=ENTHUS (prob=0.88) body=still,enthusiastic
95,3.958,00:03,True,0.0142,False,True,0.0718,False,face=NOT_enthus (prob=0.01) body=still,not enthusiastic
100,4.167,00:04,True,0.2263,False,True,0.0799,False,face=NOT_enthus (prob=0.23) body=still,not enthusiastic
105,4.375,00:04,True,0.6681,True,True,0.0934,True,face=ENTHUS (prob=0.67) body=active,enthusiastic
110,4.583,00:04,True,0.3589,False,True,0.0958,True,face=NOT_enthus (prob=0.36) body=active(ignored),not enthusiastic
115,4.792,00:04,True,0.5541,True,True,0.0846,True,face=ENTHUS (prob=0.55) body=active,enthusiastic
120,5.0,00:05,True,0.2484,False,True,0.0798,False,face=NOT_enthus (prob=0.25) body=still,not enthusiastic
125,5.208,00:05,True,0.1288,False,True,0.0887,True,face=NOT_enthus (prob=0.13) body=active(ignored),not enthusiastic
130,5.417,00:05,True,0.188,False,True,0.087,True,face=NOT_enthus (prob=0.19) body=active(ignored),not enthusiastic
135,5.625,00:05,True,0.2856,False,True,0.0745,False,face=NOT_enthus (prob=0.29) body=still,not enthusiastic
140,5.833,00:05,True,0.0365,False,True,0.0817,True,face=NOT_enthus (prob=0.04) body=active(ignored),not enthusiastic
145,6.042,00:06,True,0.0179,False,True,0.0875,True,face=NOT_enthus (prob=0.02) body=active(ignored),not enthusiastic
150,6.25,00:06,True,0.2028,False,True,0.0823,True,face=NOT_enthus (prob=0.20) body=active(ignored),not enthusiastic
155,6.458,00:06,True,0.531,True,True,0.0882,True,face=ENTHUS (prob=0.53) body=active,enthusiastic
160,6.667,00:06,True,0.4768,False,True,0.0981,True,face=NOT_enthus (prob=0.48) body=active(ignored),not enthusiastic
165,6.875,00:06,True,0.1262,False,True,0.1144,True,face=NOT_enthus (prob=0.13) body=active(ignored),not enthusiastic
170,7.083,00:07,True,0.2554,False,True,0.1036,True,face=NOT_enthus (prob=0.26) body=active(ignored),not enthusiastic
175,7.292,00:07,True,0.1469,False,True,0.0993,True,face=NOT_enthus (prob=0.15) body=active(ignored),not enthusiastic
180,7.5,00:07,True,0.8238,True,True,0.1126,True,face=ENTHUS (prob=0.82) body=active,enthusiastic
185,7.708,00:07,True,0.2236,False,True,0.109,True,face=NOT_enthus (prob=0.22) body=active(ignored),not enthusiastic
190,7.917,00:07,True,0.0661,False,True,0.1208,True,face=NOT_enthus (prob=0.07) body=active(ignored),not enthusiastic
