frame_index,timestamp_sec,timestamp_mmss,face_found,face_probability,face_enthusiastic,body_detected,body_score,body_enthusiastic,decision_reason,frame_label
0,0.0,00:00,True,0.9762,True,True,0.0,False,face=ENTHUS (prob=0.98) body=still,enthusiastic
1,0.042,00:00,True,0.7347,True,True,0.0083,False,face=ENTHUS (prob=0.73) body=still,enthusiastic
2,0.083,00:00,True,0.6172,True,True,0.023,False,face=ENTHUS (prob=0.62) body=still,enthusiastic
3,0.125,00:00,True,0.5808,True,True,0.026,False,face=ENTHUS (prob=0.58) body=still,enthusiastic
4,0.167,00:00,True,0.9712,True,True,0.0292,False,face=ENTHUS (prob=0.97) body=still,enthusiastic
5,0.208,00:00,True,0.938,True,True,0.0358,False,face=ENTHUS (prob=0.94) body=still,enthusiastic
6,0.25,00:00,True,0.8712,True,True,0.0449,False,face=ENTHUS (prob=0.87) body=still,enthusiastic
7,0.292,00:00,True,0.0017,False,True,0.0442,False,face=NOT_enthus (prob=0.00) body=still,not enthusiastic
8,0.333,00:00,True,0.3169,False,True,0.0445,False,face=NOT_enthus (prob=0.32) body=still,not enthusiastic
9,0.375,00:00,True,0.3351,False,True,0.0444,False,face=NOT_enthus (prob=0.34) body=still,not enthusiastic
10,0.417,00:00,True,0.4232,False,True,0.054,False,face=NOT_enthus (prob=0.42) body=still,not enthusiastic
11,0.458,00:00,True,0.6796,True,True,0.0522,False,face=ENTHUS (prob=0.68) body=still,enthusiastic
12,0.5,00:00,True,0.8527,True,True,0.0549,False,face=ENTHUS (prob=0.85) body=still,enthusiastic
13,0.542,00:00,True,0.8803,True,True,0.0631,False,face=ENTHUS (prob=0.88) body=still,enthusiastic
14,0.583,00:00,True,0.5994,True,True,0.0686,False,face=ENTHUS (prob=0.60) body=still,enthusiastic
15,0.625,00:00,True,0.327,False,True,0.0642,False,face=NOT_enthus (prob=0.33) body=still,not enthusiastic
16,0.667,00:00,True,0.8999,True,True,0.0675,False,face=ENTHUS (prob=0.90) body=still,enthusiastic
17,0.708,00:00,True,0.5257,True,True,0.0636,False,face=ENTHUS (prob=0.53) body=still,enthusiastic
18,0.75,00:00,True,0.8567,True,True,0.0565,False,face=ENTHUS (prob=0.86) body=still,enthusiastic
19,0.792,00:00,True,0.7616,True,True,0.0522,False,face=ENTHUS (prob=0.76) body=still,enthusiastic
20,0.833,00:00,True,0.8551,True,True,0.0493,False,face=ENTHUS (prob=0.86) body=still,enthusiastic
21,0.875,00:00,True,0.8816,True,True,0.0434,False,face=ENTHUS (prob=0.88) body=still,enthusiastic
22,0.917,00:00,True,0.9222,True,True,0.0425,False,face=ENTHUS (prob=0.92) body=still,enthusiastic
23,0.958,00:00,True,0.316,False,True,0.0396,False,face=NOT_enthus (prob=0.32) body=still,not enthusiastic
24,1.0,00:01,True,0.389,False,True,0.0381,False,face=NOT_enthus (prob=0.39) body=still,not enthusiastic
