frame_index,timestamp_sec,timestamp_mmss,face_found,face_probability,face_enthusiastic,body_detected,body_score,body_enthusiastic,decision_reason,frame_label
0,0.0,00:00,True,0.2151,False,True,0.0,False,face=NOT_enthus (prob=0.22) body=still,not enthusiastic
5,0.208,00:00,True,0.2368,False,True,0.0201,False,face=NOT_enthus (prob=0.24) body=still,not enthusiastic
10,0.417,00:00,True,0.1165,False,True,0.0319,False,face=NOT_enthus (prob=0.12) body=still,not enthusiastic
15,0.625,00:00,True,0.0676,False,True,0.036,False,face=NOT_enthus (prob=0.07) body=still,not enthusiastic
20,0.833,00:00,True,0.092,False,True,0.033,False,face=NOT_enthus (prob=0.09) body=still,not enthusiastic
25,1.042,00:01,True,0.2259,False,True,0.0386,False,face=NOT_enthus (prob=0.23) body=still,not enthusiastic
30,1.25,00:01,True,0.0841,False,True,0.0438,False,face=NOT_enthus (prob=0.08) body=still,not enthusiastic
35,1.458,00:01,True,0.0376,False,True,0.0454,False,face=NOT_enthus (prob=0.04) body=still,not enthusiastic
40,1.667,00:01,True,0.0058,False,True,0.0475,False,face=NOT_enthus (prob=0.01) body=still,not enthusiastic
45,1.875,00:01,True,0.0267,False,True,0.0553,False,face=NOT_enthus (prob=0.03) body=still,not enthusiastic
50,2.083,00:02,True,0.0489,False,True,0.0551,False,face=NOT_enthus (prob=0.05) body=still,not enthusiastic
55,2.292,00:02,True,0.0496,False,True,0.0468,False,face=NOT_enthus (prob=0.05) body=still,not enthusiastic
60,2.5,00:02,True,0.0279,False,True,0.0381,False,face=NOT_enthus (prob=0.03) body=still,not enthusiastic
65,2.708,00:02,True,0.0021,False,True,0.0308,False,face=NOT_enthus (prob=0.00) body=still,not enthusiastic
70,2.917,00:02,True,0.0049,False,True,0.0276,False,face=NOT_enthus (prob=0.00) body=still,not enthusiastic
75,3.125,00:03,True,0.1744,False,True,0.0333,False,face=NOT_enthus (prob=0.17) body=still,not enthusiastic
80,3.333,00:03,True,0.66,True,True,0.0332,False,face=ENTHUS (prob=0.66) body=still,enthusiastic
85,3.542,00:03,True,0.1581,False,True,0.0379,False,face=NOT_enthus (prob=0.16) body=still,not enthusiastic
90,3.75,00:03,True,0.3293,False,True,0.0491,False,face=NOT_enthus (prob=0.33) body=still,not enthusiastic
95,3.958,00:03,True,0.1953,False,True,0.048,False,face=NOT_enthus (prob=0.20) body=still,not enthusiastic
100,4.167,00:04,True,0.0164,False,True,0.0473,False,face=NOT_enthus (prob=0.02) body=still,not enthusiastic
105,4.375,00:04,True,0.1658,False,True,0.0513,False,face=NOT_enthus (prob=0.17) body=still,not enthusiastic
110,4.583,00:04,True,0.1299,False,True,0.05,False,face=NOT_enthus (prob=0.13) body=still,not enthusiastic
115,4.792,00:04,True,0.1243,False,True,0.0409,False,face=NOT_enthus (prob=0.12) body=still,not enthusiastic
120,5.0,00:05,True,0.1251,False,True,0.0368,False,face=NOT_enthus (prob=0.13) body=still,not enthusiastic
125,5.208,00:05,True,0.135,False,True,0.0356,False,face=NOT_enthus (prob=0.13) body=still,not enthusiastic
130,5.417,00:05,True,0.3248,False,True,0.034,False,face=NOT_enthus (prob=0.32) body=still,not enthusiastic
135,5.625,00:05,True,0.1269,False,True,0.0388,False,face=NOT_enthus (prob=0.13) body=still,not enthusiastic
140,5.833,00:05,True,0.0808,False,True,0.0454,False,face=NOT_enthus (prob=0.08) body=still,not enthusiastic
145,6.042,00:06,True,0.0445,False,True,0.0504,False,face=NOT_enthus (prob=0.04) body=still,not enthusiastic
150,6.25,00:06,True,0.0169,False,True,0.0507,False,face=NOT_enthus (prob=0.02) body=still,not enthusiastic
155,6.458,00:06,True,0.0875,False,True,0.0467,False,face=NOT_enthus (prob=0.09) body=still,not enthusiastic
160,6.667,00:06,True,0.1114,False,True,0.0416,False,face=NOT_enthus (prob=0.11) body=still,not enthusiastic
165,6.875,00:06,True,0.0101,False,True,0.0405,False,face=NOT_enthus (prob=0.01) body=still,not enthusiastic
170,7.083,00:07,True,0.0297,False,True,0.0426,False,face=NOT_enthus (prob=0.03) body=still,not enthusiastic
175,7.292,00:07,True,0.0939,False,True,0.0439,False,face=NOT_enthus (prob=0.09) body=still,not enthusiastic
180,7.5,00:07,True,0.0096,False,True,0.048,False,face=NOT_enthus (prob=0.01) body=still,not enthusiastic
185,7.708,00:07,True,0.437,False,True,0.0496,False,face=NOT_enthus (prob=0.44) body=still,not enthusiastic
190,7.917,00:07,True,0.0293,False,True,0.0457,False,face=NOT_enthus (prob=0.03) body=still,not enthusiastic
