frame_index,timestamp_sec,timestamp_mmss,face_found,face_probability,face_enthusiastic,body_detected,body_score,body_enthusiastic,decision_reason,frame_label
0,0.0,00:00,True,0.9456,True,True,0.0,False,face=ENTHUS (prob=0.95) body=still,enthusiastic
5,0.208,00:00,True,0.2192,False,True,0.0388,False,face=NOT_enthus (prob=0.22) body=still,not enthusiastic
10,0.417,00:00,True,0.0707,False,True,0.3135,True,face=NOT_enthus (prob=0.07) body=active(ignored),not enthusiastic
15,0.625,00:00,True,0.5223,True,True,0.2877,True,face=ENTHUS (prob=0.52) body=active,enthusiastic
20,0.833,00:00,True,0.9274,True,True,0.3173,True,face=ENTHUS (prob=0.93) body=active,enthusiastic
25,1.042,00:01,True,0.17,False,True,0.3487,True,face=NOT_enthus (prob=0.17) body=active(ignored),not enthusiastic
30,1.25,00:01,True,0.939,True,True,0.4038,True,face=ENTHUS (prob=0.94) body=active,enthusiastic
35,1.458,00:01,True,0.5255,True,True,0.2428,True,face=ENTHUS (prob=0.53) body=active,enthusiastic
40,1.667,00:01,True,0.9963,True,True,0.2131,True,face=ENTHUS (prob=1.00) body=active,enthusiastic
45,1.875,00:01,True,0.9807,True,True,0.1405,True,face=ENTHUS (prob=0.98) body=active,enthusiastic
50,2.083,00:02,True,1.0,True,True,0.1474,True,face=ENTHUS (prob=1.00) body=active,enthusiastic
55,2.292,00:02,True,0.8788,True,True,0.1789,True,face=ENTHUS (prob=0.88) body=active,enthusiastic
60,2.5,00:02,True,0.4277,False,True,0.1875,True,face=NOT_enthus (prob=0.43) body=active(ignored),not enthusiastic
65,2.708,00:02,True,0.9223,True,True,0.2259,True,face=ENTHUS (prob=0.92) body=active,enthusiastic
70,2.917,00:02,True,0.9509,True,True,0.2206,True,face=ENTHUS (prob=0.95) body=active,enthusiastic
75,3.125,00:03,True,0.6186,True,True,0.1866,True,face=ENTHUS (prob=0.62) body=active,enthusiastic
80,3.333,00:03,True,0.9423,True,True,0.0909,True,face=ENTHUS (prob=0.94) body=active,enthusiastic
85,3.542,00:03,True,0.9999,True,True,0.0761,False,face=ENTHUS (prob=1.00) body=still,enthusiastic
90,3.75,00:03,True,0.9984,True,True,0.191,True,face=ENTHUS (prob=1.00) body=active,enthusiastic
95,3.958,00:03,True,0.9991,True,True,0.3325,True,face=ENTHUS (prob=1.00) body=active,enthusiastic
100,4.167,00:04,True,0.5229,True,True,0.355,True,face=ENTHUS (prob=0.52) body=active,enthusiastic
105,4.375,00:04,True,0.9116,True,True,0.3618,True,face=ENTHUS (prob=0.91) body=active,enthusiastic
110,4.583,00:04,True,0.724,True,True,0.3611,True,face=ENTHUS (prob=0.72) body=active,enthusiastic
115,4.792,00:04,True,0.0498,False,True,0.2064,True,face=NOT_enthus (prob=0.05) body=active(ignored),not enthusiastic
120,5.0,00:05,True,0.5822,True,True,0.0674,False,face=ENTHUS (prob=0.58) body=still,enthusiastic
125,5.208,00:05,True,0.9998,True,True,0.1426,True,face=ENTHUS (prob=1.00) body=active,enthusiastic
130,5.417,00:05,True,0.8859,True,True,0.3247,True,face=ENTHUS (prob=0.89) body=active,enthusiastic
135,5.625,00:05,True,0.9668,True,True,0.3269,True,face=ENTHUS (prob=0.97) body=active,enthusiastic
140,5.833,00:05,True,0.9812,True,True,0.3336,True,face=ENTHUS (prob=0.98) body=active,enthusiastic
145,6.042,00:06,True,0.9634,True,True,0.3279,True,face=ENTHUS (prob=0.96) body=active,enthusiastic
150,6.25,00:06,True,0.9556,True,True,0.2288,True,face=ENTHUS (prob=0.96) body=active,enthusiastic
155,6.458,00:06,True,0.9415,True,True,0.0367,False,face=ENTHUS (prob=0.94) body=still,enthusiastic
160,6.667,00:06,True,0.9722,True,True,0.0337,False,face=ENTHUS (prob=0.97) body=still,enthusiastic
165,6.875,00:06,True,0.571,True,True,0.0375,False,face=ENTHUS (prob=0.57) body=still,enthusiastic
170,7.083,00:07,True,0.7853,True,True,0.0427,False,face=ENTHUS (prob=0.79) body=still,enthusiastic
175,7.292,00:07,True,0.7168,True,True,0.0505,False,face=ENTHUS (prob=0.72) body=still,enthusiastic
180,7.5,00:07,True,0.9987,True,True,0.0559,False,face=ENTHUS (prob=1.00) body=still,enthusiastic
185,7.708,00:07,True,0.5216,True,True,0.0804,True,face=ENTHUS (prob=0.52) body=active,enthusiastic
190,7.917,00:07,False,0.0,False,True,0.1042,True,no_face(side/back_cam) body=ACTIVE (score=0.104),enthusiastic
